63.65,69.54
62.96,68.7
65.09,69.62
65.16,71.5
66.55,72.34
66.46,70.22
67.48,68.32
67.99,68
67.56,67.88
69.68,68.4
70.38,69.77
71.03,70.3
71.12,69.11
67.41,66.63
68.61,66.7
68.15,65.7
67.46,66.74
65.58,65.57
65.3,66.28
66.38,67.77
64.06,66.1
64.7,67.8
65.1,67.75
65.11,68.32
64.23,67.73
62.56,66.82
63.5,68.9
63.29,68.74
62.55,68.76
62.28,67.28
60.91,67.12
60.45,68.07
60.03,67.08
55.92,65.18
55.62,65.79
57.32,66.16
57.68,66.25
56.36,65.54
57.3,65.29
58.33,66.35
57.73,67
57.99,66.89
58.28,67.7
57.68,68.08
57.54,68.31
59.52,69.51
61.23,69.77
62.18,69.93
62.5,71
63.02,70.77
62.63,69.85
62.02,69.56
63.81,70.08
64.92,71.14
65.55,73.25
65.85,73.22
63.95,71.65
62.9,70.75
64.03,69.85
62.54,69.1
61.71,69.52
61.14,70.17
61.55,69
62,69.17
62.9,69.68
63.11,68.5
63.16,69.52
64.32,70.15
64.75,71.12
64.12,70.56
64.28,69.81
64.5,72
63.97,71.3
64.63,71.17
63.25,69.6
62.71,69.73
62.25,68.59
62.01,68.21
62.49,67.1
61.03,66.05
61.04,66.18
62.44,67.42
62.05,67.05
61.83,66
61.75,66.75
61.77,66.55
61,64.88
60.94,64.19
61.42,64.85
62.29,64.8
62.14,63.75
63.36,63.31
62.86,62.2
61.25,61.89
60.64,60.9
58.5,60.03
58.32,58.76
58.62,59
57.19,58.15
57.4,58.04
58.23,58.32
56.92,56.25
57.26,55.05
57.95,55.89
58.5,54.64
58.5,55.67
58.74,55.42
59.81,57.16
59.79,56.65
59.47,57
59.15,55.31
57.11,53.24
56.37,54.04
56.92,54.59
56.99,54.35
57.2,54.6
57,53.67
56.88,52.65
57.49,53.43
58.57,53.65
59.17,54.72
58.65,53.99
58.59,52.85
59.41,53.9
58.78,52.75
57.76,52.37
58.17,52.84
58.76,54.7
59.29,53.65
59.4,54
59.9,51.98
60.24,52.1
61.36,52.12
61.92,51.5
62.3,52.68
61.89,53.45
62.04,52.6
61.11,53.4
62.95,54.5
62.49,53.3
62.19,52.35
61.63,52.14
61.84,52.5
61.31,50.59
61.78,50.94
61.77,50.97
62.27,51.98
62.5,51.31
63.5,51.8
63.7,52.3
63.57,52.71
