21.73,24.73,33.56
21.95,24.66,33.75
22.08,24.84,33.87
22.07,24.88,33.82
22.6,24.83,34.32
22.36,25,34.26
22.78,25.34,34.69
22.81,25.42,34.92
23.02,25.83,35.12
23.1,25.67,34.9
23.11,25.8,34.75
22.83,25.48,34.31
22.96,25.85,34.77
22.87,25.77,34.83
22.45,25.67,34.69
22.96,26.1,35.38
22.7,25.73,35.29
22.62,25.96,35.33
22.34,25.83,34.86
22.38,25.58,34.92
22.91,26.04,35.29
22.83,26.26,35.69
23.11,26.45,35.82
23.1,26.81,36.08
23.03,26.78,36.07
23.5,26.77,36.04
23.05,26.48,35.42
23.47,26.91,36.18
23.35,26.81,36.22
23.31,27.15,36.24
23.05,27.21,36.35
23.24,27.58,36.88
23.34,27.81,37.39
23.25,27.96,37.8
23.04,27.76,37.44
23.2,27.71,37.62
22.35,27.53,36.86
22.9,27.88,37.4
22.84,27.89,37.19
22.83,28.15,37.86
23.15,28.18,37.83
23.44,28.54,38.27
23.71,28.62,38.8
23.75,28.5,38.62
23.35,28.11,38.02
23.16,27.41,37.21
23.43,27.73,37.56
23.6,27.6,37.78
22.92,27.44,37.34
23.27,27.88,38.13
23.35,28.21,38.81
23.75,28.66,39.32
23.88,28.74,39.41
24.24,28.5,39.4
24.2,28.06,38.34
24.27,28.13,39.11
24.1,27.91,38.75
24.3,27.65,38.19
23.8,27.23,37.56
23.25,27.47,37.96
23.74,27.83,37.84
23.72,27.94,38.07
24.37,28.31,38.77
24.27,28.4,38.96
24.6,28.62,39.02
24.7,28.92,39.39
24.94,28.98,39.83
24.57,28.8,39.61
24.6,28.83,39.69
25.1,29.51,40.53
25.18,29.78,40.94
25.22,29.58,40.27
25.12,29.68,39.96
25.09,30.08,40.75
25.45,30.27,41.15
25.38,30,40.89
25.6,29.78,40.75
25.24,29.26,39.68
25.35,29.19,40
23.73,28.24,38.66
22.75,27.78,37.95
23.38,27.91,38.38
23.29,27.94,38.22
22.79,27.67,37.91
23.05,28.26,37.82
22.05,27.68,36.36
22.73,27.54,36.49
22.97,27.61,37.19
23.74,28.28,38.11
22.54,27.37,36.9
22.6,27.45,37.23
22.66,27.38,37.14
21.62,26.63,36.61
20.46,25.95,35.53
19.39,25.6,35.22
20.18,26.5,36.13
21.1,26.76,36.29
21,26.87,35.96
21.85,27.36,36.58
22.67,27.56,36.87
23.1,27.85,37.56
22.9,27.58,37.22
22.08,26.82,36.2
23.03,27.92,37.34
22.37,27.5,37.24
23.19,27.98,37.79
23.72,28.37,38.65
22.85,28.15,38.52
23.59,28.32,39
23.06,28.05,38.56
23.09,27.92,38.3
24.12,28.39,38.94
23.8,28.76,39.17
24.14,28.98,39.55
24.19,29.17,39.66
23.66,29.16,39.55
24.59,30.01,40.9
25.24,29.84,41.02
25.27,30.02,41.25
25.45,30.24,41.47
25.78,30.25,41.28
26.21,30.35,40.82
26.55,30.45,40.85
26.8,30.75,41.28
27.04,30.81,41.1
27.84,31.23,41.65
27.51,30.97,41.35
27.38,30.64,40.92
27.34,31.03,41.19
27.89,31.66,41.5
27.45,31.51,41.02
28.31,31.67,41.77
28.27,31.85,42.17
28.5,31.8,42.24
28.73,32.31,42.47
28.25,31.81,42.96
27.58,31.5,42.82
27.67,31.88,42.72
28.35,32.55,43.08
27.08,31.64,41.28
27.17,31.73,40.84
28.02,31.86,41.44
28.11,31.9,41.61
28.2,31.98,42.12
29.17,32.62,42.73
29.57,33.23,43.07
29.09,32.89,41.81
29.96,34.16,42.96
28.63,33.21,41.96
28.99,33.99,42.72
28.25,33.73,42.35
28.92,34.5,43.54
28.36,33.63,42.35
28.65,33.08,42.64
27.46,32.32,41.86
26.01,30.75,39.81
27.49,31.54,40.62
27.5,31.34,40.73
26.51,29.98,39.58
26.89,30.41,40.2
26.09,29.6,39.46
26.65,30.09,40.44
25.44,29.29,39.66
25.81,29.93,40.37
25.35,30.01,39.57
25.9,29.5,39.04
26.9,30.38,39.82
26.61,30.49,40.15
26.89,29.99,40.15
26.76,29.88,40.43
26.34,29.28,40
26.73,29.69,40.68
27.33,30.02,41.81
27.01,30.15,41.89
27.62,30.35,42.2
26.77,29.48,41.02
27.15,29.79,42.05
26.92,29.53,42.04
25.57,29.36,41.43
24.45,29.11,40.32
24.59,29.08,40.93
24.45,29.25,41.21
24.48,29.38,41.68
25.25,30.04,42.79
25.53,30.57,43.07
25.56,30.69,43.54
25.37,30.67,43.41
25.65,31.01,43.54
25.35,30.58,42.98
25.31,30.87,43.67
25.45,31.01,44.1
24.62,30.2,42.7
24.55,29.75,42.17
24.3,29.56,41.72
24.65,29.64,42.18
25.07,29.77,42.05
24.2,29.27,41.53
24.67,29.54,42.34
23.53,28.7,40.78
23.17,27.88,39.24
22.24,27.03,37.56
22.62,27,37.64
21.39,26.83,36.8
21.43,27.12,36.68
22.48,28.05,38.18
23.32,28.11,37.87
23.78,28.05,38.61
23.39,28.67,38.87
22.73,28.72,38.76
23.41,28.75,38.66
24.96,29.39,39.38
24.3,28.87,39.47
22.99,28.23,37.95
22.8,28.31,37.21
22.78,28.03,37.75
22.76,28.51,38.48
22.91,28.82,39.46
23.27,28.76,39.18
22.79,29.3,40.26
22.86,29.05,40.1
23.26,28.85,39.94
23.37,29.04,41.1
23.05,29.5,41.73
22.98,29.48,40.9
23.36,29.64,41.47
24.21,30.42,42.44
24.48,31,43.23
24.75,31,42.96
24.34,31.42,43.79
23.07,30.48,42.41
23.35,30.24,42.85
22.61,29.87,42.14
23.13,30.48,43.24
22.34,29.84,42.27
21.75,29.5,41.45
21.26,28.72,40.64
22.29,29.6,42.33
22.17,29.61,41.76
22.4,30.11,42.64
21.81,29.69,42.05
21.24,28.6,40.41
21.89,29.16,41.68
21.44,27.49,39.05
21.37,27.49,38.93
22.05,28.17,39.5
22.05,28.91,40.22
22.56,28.97,41.11
22.38,28.97,40.83
22.31,28.73,40.69
22.29,28.78,40.76
22.92,29.15,41.31
23.23,29.57,42
23.79,29.98,42.19
24.12,30.09,42.78
24.2,30.1,42.88
24.21,30.15,43.17
23.54,30.05,43.4
23.47,30.38,43.52
23.03,29.71,42.8
22.8,29.95,43.52
23.33,30.24,44.05
